iter	RMSE
0	9.120927119
1	9.102254449
2	9.084539922
3	9.067601354
4	9.045641993
5	9.027016267
6	9.007923262
7	8.989243145
8	8.97230911
9	8.952043337
10	8.935245927
11	8.914235004
12	8.897301964
13	8.880216988
14	8.860751093
15	8.846809375
16	8.835085873
17	8.815174754
18	8.793937751
19	8.775485014
20	8.757266634
21	8.74024211
22	8.724114109
23	8.708347992
24	8.693511668
25	8.67763307
26	8.660865277
27	8.64545934
28	8.628206232
29	8.614735648
30	8.600491424
31	8.587309418
32	8.57514896
33	8.564364875
34	8.548661591
35	8.533650691
36	8.521032692
37	8.50855264
38	8.495045172
39	8.479703566
40	8.46690847
41	8.451264949
42	8.436009368
43	8.420735932
44	8.40855202
45	8.391838195
46	8.377924605
47	8.363852107
48	8.349252319
49	8.336980652
50	8.326216871
51	8.312281041
52	8.297808071
53	8.284678277
54	8.275163368
55	8.261379179
56	8.247581823
57	8.235105123
58	8.223007186
59	8.213631683
60	8.201890485
61	8.19062179
62	8.17820919
63	8.169048225
64	8.156700342
65	8.145949816
66	8.135478609
67	8.124898547
68	8.115344797
69	8.105359114
70	8.096479282
71	8.086162795
72	8.074733945
73	8.065237912
74	8.05452771
75	8.044271397
76	8.034626396
77	8.02383321
78	8.014561061
79	8.003580779
80	7.992971285
81	7.982685058
82	7.975765584
83	7.965241082
84	7.954981337
85	7.948563675
86	7.940387113
87	7.933438591
88	7.924707843
89	7.915725039
90	7.908642235
91	7.899293509
92	7.890020162
93	7.880602472
94	7.872765549
95	7.866399609
96	7.859779212
97	7.850226912
98	7.840999767
99	7.832890278
100	7.82693893
101	7.8203764
102	7.812768404
103	7.805686044
104	7.799736216
105	7.795643788
106	7.786770365
107	7.779985625
108	7.772029
109	7.763118753
110	7.755070228
111	7.748157402
112	7.741675545
113	7.733473738
114	7.727216541
115	7.720076988
116	7.714648789
117	7.710173355
118	7.703295509
119	7.696381184
120	7.689662931
121	7.685169139
122	7.677117326
123	7.672087422
124	7.664781504
125	7.658894795
126	7.652344268
127	7.646263185
128	7.639195388
129	7.634646235
130	7.625897758
131	7.620367753
132	7.615616527
133	7.610131885
134	7.604219447
135	7.598205435
136	7.591866415
137	7.58732387
138	7.582700895
139	7.575281256
140	7.570001528
141	7.564470797
142	7.558493082
143	7.552750342
144	7.54614171
145	7.540682533
146	7.534657256
147	7.530126506
148	7.524248587
149	7.519478643
150	7.514357533
151	7.508799041
152	7.504413143
153	7.499065571
154	7.492299314
155	7.487108149
156	7.481468451
157	7.475330099
158	7.472375118
159	7.470194755
160	7.465811167
161	7.461504443
162	7.45730239
163	7.453128158
164	7.449626
165	7.445841109
166	7.44031643
167	7.435361737
168	7.431031567
169	7.427692289
170	7.42236247
171	7.419454464
172	7.413963181
173	7.410046419
174	7.407207392
175	7.403545256
176	7.401773267
177	7.39639124
178	7.393664684
179	7.388404365
180	7.384193583
181	7.380761163
182	7.375281749
183	7.371257923
184	7.367068767
185	7.364609019
186	7.360767839
187	7.354591054
188	7.34932637
189	7.346871359
190	7.343479256
191	7.338408686
192	7.334159027
193	7.33030814
194	7.326503515
195	7.322964432
196	7.319379037
197	7.316732115
198	7.313020809
199	7.309585505
200	7.305782559
201	7.301523311
202	7.298021316
203	7.29408185
204	7.290828953
205	7.28782175
206	7.284901365
207	7.281000937
208	7.278405787
209	7.27429554
210	7.271337762
211	7.268175387
212	7.264199798
213	7.260217117
214	7.255755022
215	7.252368324
216	7.249367138
217	7.246073486
218	7.242137654
219	7.237452256
220	7.234324139
221	7.231835019
222	7.227762665
223	7.224096352
224	7.221633045
225	7.217896884
226	7.215000842
227	7.210846687
228	7.208711476
229	7.206313432
230	7.203595433
231	7.200131962
232	7.198133301
233	7.195919993
234	7.193858144
235	7.19092582
236	7.187504268
237	7.185143994
238	7.182652089
239	7.179514216
240	7.176723619
241	7.172769952
242	7.170431634
243	7.168256338
244	7.165852196
245	7.162305862
246	7.160029181
247	7.15719182
248	7.155058211
249	7.152928411
250	7.15019091
251	7.14674272
252	7.14378996
253	7.141889462
254	7.139264424
255	7.136942535
256	7.134629216
257	7.133439243
258	7.130891145
259	7.128229259
260	7.126083936
261	7.12349934
262	7.121073935
263	7.118915197
264	7.116528975
265	7.114036458
266	7.112323448
267	7.109866543
268	7.106805584
269	7.104983439
270	7.102895688
271	7.1000371
272	7.097568072
273	7.094966383
274	7.093429749
275	7.090081276
276	7.088287188
277	7.085651672
278	7.082992722
279	7.081760751
280	7.079578812
281	7.07640279
282	7.074844591
283	7.073104918
284	7.071178212
285	7.069052216
286	7.067146273
287	7.063592676
288	7.061374524
289	7.059173507
290	7.056991811
291	7.055264446
292	7.053115285
293	7.050517685
294	7.047901558
295	7.046048489
296	7.043306252
297	7.041889585
298	7.039758321
299	7.03753038
300	7.036004645
301	7.033661543
302	7.031999682
303	7.030021417
304	7.027906642
305	7.025706981
306	7.023774369
307	7.022466873
308	7.020568124
309	7.018240715
310	7.015139512
311	7.012589831
312	7.011181304
313	7.009033346
314	7.007001313
315	7.005443076
316	7.003929883
317	7.002162901
318	7.000079345
319	6.999039774
320	6.996783563
321	6.994524815
322	6.993433081
323	6.991482693
324	6.990325009
325	6.987982398
326	6.986361983
327	6.984722167
328	6.983110665
329	6.981943452
330	6.980311215
331	6.979363294
332	6.978605368
333	6.97751303
334	6.975952443
335	6.974926314
336	6.973335047
337	6.971043829
338	6.96930096
339	6.96711138
340	6.966154874
341	6.964768237
342	6.963015777
343	6.960584333
344	6.957506829
345	6.955447162
346	6.953042909
347	6.951656459
348	6.95087653
349	6.949003281
350	6.946725159
351	6.945880973
352	6.94475349
353	6.942980536
354	6.940866915
355	6.939174732
356	6.9371042
357	6.935578602
358	6.933663739
359	6.932193467
360	6.931311263
361	6.929492394
362	6.927601274
363	6.925790815
364	6.924750353
365	6.923457158
366	6.921840777
367	6.920139664
368	6.917472095
369	6.916409285
370	6.914896159
371	6.913950259
372	6.912345439
373	6.910368737
374	6.9097006
375	6.908736479
376	6.907448702
377	6.906084194
378	6.903632614
379	6.902246894
380	6.901633691
381	6.900341459
382	6.89923033
383	6.897997426
384	6.896116605
385	6.893986164
386	6.892596304
387	6.891125531
388	6.889611428
389	6.888534581
390	6.886855981
391	6.88524514
392	6.883183016
393	6.881314733
394	6.880107849
395	6.879491899
396	6.877183896
397	6.875968428
398	6.874218725
399	6.872406763
400	6.871081374
401	6.868584615
402	6.866174757
403	6.864959212
404	6.863219825
405	6.861583269
406	6.858613323
407	6.857295523
408	6.856117613
409	6.855404525
410	6.853497662
411	6.852392548
412	6.851349715
413	6.850033872
414	6.848439129
415	6.846281856
416	6.845181133
417	6.844053741
418	6.842339351
419	6.840884849
420	6.839387207
421	6.837191031
422	6.835816703
423	6.834772885
424	6.833644877
425	6.832097174
426	6.830512347
427	6.829374663
428	6.827610276
429	6.825821706
430	6.824647156
431	6.822405294
432	6.820406519
433	6.819107731
434	6.817688928
435	6.815619497
436	6.814147301
437	6.813134966
438	6.812375572
439	6.810513236
440	6.809747664
441	6.809246259
442	6.808027461
443	6.806583305
444	6.805417301
445	6.804071698
446	6.802755132
447	6.801735712
448	6.800001404
449	6.798883751
450	6.797194616
451	6.795842709
452	6.794115297
453	6.792446133
454	6.791446349
455	6.789941271
456	6.788114071
457	6.786874279
458	6.786128904
459	6.785067416
460	6.784443344
461	6.783206549
462	6.782442763
463	6.780277152
464	6.779238999
465	6.777929047
466	6.776171345
467	6.774248322
468	6.773375725
469	6.771330407
470	6.769650222
471	6.768466156
472	6.767537976
473	6.766017051
474	6.764699328
475	6.763282373
476	6.762280175
477	6.761400095
478	6.759446525
479	6.757710012
480	6.75625621
481	6.754840584
482	6.753083288
483	6.751815794
484	6.750779006
485	6.749898421
486	6.749183048
487	6.747754592
488	6.745870312
489	6.744049367
490	6.74281079
491	6.741713514
492	6.740835581
493	6.740069699
494	6.738942838
495	6.737874542
496	6.736738079
497	6.735373873
498	6.734455972
499	6.733180894
500	6.7317988
501	6.730726222
502	6.729974442
503	6.728794862
504	6.726669111
505	6.724817508
506	6.724045288
507	6.722807779
508	6.721337135
509	6.720590747
510	6.719200682
511	6.717730824
512	6.716541704
513	6.715821488
514	6.713880701
515	6.713030777
516	6.711315754
517	6.710039308
518	6.70820848
519	6.706988612
520	6.705970793
521	6.704730361
522	6.703506024
523	6.702756726
524	6.701479498
525	6.700777878
526	6.700068695
527	6.698111687
528	6.69632576
529	6.695102015
530	6.693652595
531	6.692740669
532	6.692085107
533	6.691441155
534	6.69043451
535	6.689633554
536	6.689126053
537	6.688665662
538	6.687599503
539	6.68639262
540	6.685480698
541	6.6843904
542	6.68356209
543	6.682466579
544	6.681228486
545	6.680592943
546	6.679609721
547	6.678584071
548	6.677320658
549	6.675906717
550	6.675148849
551	6.673672922
552	6.6722082
553	6.671071553
554	6.670054606
555	6.669259676
556	6.668590033
557	6.667493144
558	6.666160838
559	6.665426399
560	6.664568553
561	6.663652558
562	6.66273946
563	6.661250583
564	6.660391801
565	6.659787179
566	6.659043292
567	6.658185564
568	6.657491215
569	6.656844444
570	6.655679631
571	6.655096923
572	6.653728401
573	6.652844943
574	6.652265749
575	6.651371713
576	6.650008283
577	6.649347468
578	6.648251967
579	6.647852734
580	6.64702607
581	6.64604621
582	6.645532744
583	6.644637938
584	6.643550681
585	6.642509275
586	6.641434211
587	6.640753847
588	6.640299026
589	6.639267309
590	6.638464319
591	6.637841034
592	6.636980602
593	6.636159191
594	6.63503211
595	6.634307994
596	6.63381605
597	6.633141771
598	6.631832424
599	6.63091602
