iter	Passed	Remaining
0	164	41240
1	318	39851
2	472	39213
3	624	38741
4	776	38382
5	936	38400
6	1095	38348
7	1246	38030
8	1397	37732
9	1548	37480
10	1704	37351
11	1858	37168
12	2011	36981
13	2167	36839
14	2320	36657
15	2472	36465
16	2627	36320
17	2781	36160
18	2932	35966
19	3087	35816
20	3245	35705
21	3396	35510
22	3552	35368
23	3707	35220
24	3861	35060
25	4014	34891
26	4166	34719
27	4318	34551
28	4472	34391
29	4619	34186
30	4776	34052
31	4925	33860
32	5069	33643
33	5225	33503
34	5381	33363
35	5535	33210
36	5690	33064
37	5847	32930
38	6002	32781
39	6151	32605
40	6300	32425
41	6453	32266
42	6606	32111
43	6763	31973
44	6915	31810
45	7068	31654
46	7215	31473
47	7366	31308
48	7517	31142
49	7670	30988
50	7826	30846
51	7976	30678
52	8129	30525
53	8283	30374
54	8438	30226
55	8591	30070
56	8744	29916
57	8892	29742
58	9045	29588
59	9201	29444
60	9354	29289
61	9510	29146
62	9665	28996
63	9816	28836
64	9972	28689
65	10129	28546
66	10281	28389
67	10436	28240
68	10587	28080
69	10744	27935
70	10895	27776
71	11048	27620
72	11205	27476
73	11354	27311
74	11507	27157
75	11657	26996
76	11813	26848
77	11963	26688
78	12114	26529
79	12271	26384
80	12424	26228
81	12575	26070
82	12735	25931
83	12886	25773
84	13037	25614
85	13190	25459
86	13346	25312
87	13496	25152
88	13647	24994
89	13803	24845
90	13953	24686
91	14107	24534
92	14260	24380
93	14415	24231
94	14569	24078
95	14577	23689
96	14733	23542
97	14887	23394
98	15038	23241
99	15194	23095
100	15348	22946
101	15504	22800
102	15657	22649
103	15813	22503
104	15963	22348
105	16117	22200
106	16271	22049
107	16419	21892
108	16571	21740
109	16724	21589
110	16877	21439
111	17030	21288
112	17184	21138
113	17336	20986
114	17490	20835
115	17643	20685
116	17798	20536
117	17954	20388
118	17965	20078
119	18117	19929
120	18272	19782
121	18425	19633
122	18580	19486
123	18737	19341
124	18892	19194
125	19041	19041
126	19194	18892
127	19349	18745
128	19502	18595
129	19669	18459
130	19822	18309
131	19974	18158
132	20127	18008
133	20283	17861
134	20437	17712
135	20590	17562
136	20743	17412
137	20898	17264
138	21048	17111
139	21205	16964
140	21353	16809
141	21503	16657
142	21654	16505
143	21811	16358
144	21965	16208
145	22119	16059
146	22273	15909
147	22426	15759
148	22582	15610
149	22742	15464
150	22894	15313
151	23048	15163
152	23205	15015
153	23358	14864
154	23511	14713
155	23662	14561
156	23817	14411
157	23970	14260
158	24124	14110
159	24278	13960
160	24432	13809
161	24576	13653
162	24733	13504
163	24890	13355
164	25044	13205
165	25200	13055
166	25352	12903
167	25503	12751
168	25662	12603
169	25813	12451
170	25962	12297
171	26111	12144
172	26266	11994
173	26415	11841
174	26566	11689
175	26722	11539
176	26868	11385
177	27023	11234
178	27178	11084
179	27334	10933
180	27488	10782
181	27636	10629
182	27793	10479
183	27949	10329
184	28103	10178
185	28260	10027
186	28415	9877
187	28567	9725
188	28721	9573
189	28876	9422
190	29025	9269
191	29176	9117
192	29331	8966
193	29481	8814
194	29637	8663
195	29794	8512
196	29952	8362
197	30106	8210
198	30261	8059
199	30413	7907
200	30579	7759
201	30735	7607
202	30889	7456
203	31043	7304
204	31196	7152
205	31348	7000
206	31500	6847
207	31654	6696
208	31807	6544
209	31960	6392
210	32114	6240
211	32268	6088
212	32419	5936
213	32574	5784
214	32727	5632
215	32882	5480
216	33036	5328
217	33190	5176
218	33344	5024
219	33497	4872
220	33648	4719
221	33801	4567
222	33956	4415
223	34108	4263
224	34262	4111
225	34416	3959
226	34572	3807
227	34727	3655
228	34881	3503
229	35036	3351
230	35193	3199
231	35344	3046
232	35498	2894
233	35655	2742
234	35811	2590
235	35968	2438
236	36123	2286
237	36281	2134
238	36431	1981
239	36583	1829
240	36738	1676
241	36892	1524
242	37044	1372
243	37197	1219
244	37348	1067
245	37502	914
246	37655	762
247	37807	609
248	37962	457
249	38114	304
250	38262	152
251	38414	0
